Unnamed: 0,Plant ID,Average flow (MGD),Sludge yield (tone),CODinf,CODeff,BODinf,BODeff,SSinf,SSeff,NH3-Ninf,NH3-Neff,TNinf,TNeff,TPinf,TPeff,Flow based EUI (kWh/m^3),Pollutant removal based EUI (kWh/kg COD removed),Treatment process,Latitude,Longitude,Annual HDD,annual_hdd,avg_temp,COD_out_CEPT,TN_out_CEPT,C/N ratio_CEPT,BOD removed (kg/a),SS removed (kg/a),Sludge yield by CEPT (tonne/a),CEPT electricity consumption (kWh/a),CEPT heat consumption (kWh/a),CEPT electricity recovery potential (kWh/a),CEPT heat recovery potential (kWh/a)
0,1,6.5522724,14835.97,335.97,14.49,163.98,2.39,303.27,2.81,38.28,0.28,50.44,10.26,7.43,0.16,0.61,1.897474182,A2O,40.18437,116.26667,8213.33,8213.33,12.559207650273224,83.9925,42.873999999999995,1.9590544385874893,742264.5682884571,2196429.570677794,4454.793108445294,5870506.518853705,116393.23210365116,1016131.19,1161292.78
1,2,7.2207416,6708.06,379.67,23.54,115.75,5.78,366.27,7.17,31.84,1.52,44.79,11.68,8.19,0.4,0.36,1.010866818,A2O,40.148968,116.290595,8213.33,8213.33,12.559207650273224,94.9175,38.0715,2.4931379115611416,577402.5629416675,2923338.045493143,5412.1020268381435,3990713.851434963,141405.45521276892,790441.54,903361.76
2,3,1.8218736,3102.4,212.46,18.09,88.86,3.33,107.48,3.57,30.6,1.85,35.79,11.62,3.04,0.34,0.58,2.983999588,A2O,39.756206,116.45241,8213.33,8213.33,12.559207650273224,53.115,30.421499999999998,1.7459691336719099,111840.84907502041,216442.1239447795,844.3850203147794,1549068.3675490953,22061.788114924126,153105.75,174978.0
3,5,129.2938024,178452.41,538.09,12.89,217.01,1.02,306.49,2.5,38.32,0.41,50.14,9.03,5.65,0.11,0.58,1.104341203,A2O,39.9941159,116.3343273,8213.33,8213.33,12.559207650273224,134.5225,42.619,3.1563973814495885,19383551.775837827,43801592.80237066,88365.12605832567,110502323.66569671,2308772.2317960914,26535324.85,30326085.55
4,7,139.5943676,215278.94,413.82,14.57,169.95,1.04,185.53,2.5,39.22,0.37,49.9,10.52,5.07,0.15,0.48,1.202254227,A2O,39.83298,116.45573,8213.33,8213.33,12.559207650273224,103.455,42.415,2.439113521159967,16389472.216370706,28627137.67864202,76740.95386637452,99687004.10030179,2005060.0415743648,22436546.95,25641767.94
5,11,12.6894756,2561.74,149.34,12.85,71.7,5.8,175.11,4.0,16.44,1.02,19.95,6.15,2.08,0.28,0.24,1.758370577,A2O,39.945213,116.418944,8213.33,8213.33,12.559207650273224,37.335,16.9575,2.2016806722689077,628548.4135067356,2456125.2482937677,6829.790941501267,4860154.767494126,178446.32128179856,860458.21,983380.82
6,14,77.7213276,107172.61,578.98,13.13,281.18,1.03,330.11,2.5,35.61,0.37,51.62,9.19,8.69,0.11,0.45,0.795263762,A2O,40.057896,116.462308,8213.33,8213.33,12.559207650273224,144.745,43.876999999999995,3.2988809626911597,15097343.656676121,28359252.376444157,55147.36520867665,52536123.94205994,1440870.5235872215,20667673.45,23620198.23
7,15,26.9301936,33365.79,429.33,20.13,202.71,2.96,284.32,3.21,43.63,0.31,51.56,14.57,5.35,0.32,0.23,0.562072336,A2O,39.839826,116.308629,8213.33,8213.33,12.559207650273224,107.3325,43.826,2.44905991876968,3771295.41468129,8463359.18150804,17745.35534687804,10008183.11892236,463644.26211743266,5162756.04,5900292.61
8,20,3.3562468,2880.76,251.44,7.92,101.34,4.06,100.99,6.58,16.89,0.79,27.95,8.4,1.82,0.3,0.4,1.642575558,A2O,39.750652,116.19926,8213.33,8213.33,12.559207650273224,62.86,23.7575,2.645901294328107,234969.0672087513,374652.0796907329,1531.4454689382333,2020313.5388844647,40013.05640486213,321663.47,367615.39
9,22,12.6952676,8894.79,113.65,10.03,37.61,2.52,178.02,3.88,19.94,0.46,28.28,8.11,2.94,0.18,0.58,5.597375024,A2O,39.793176,116.189968,8213.33,8213.33,12.559207650273224,28.4125,24.038,1.181982694067726,329853.5002604301,2498081.153580932,6873.743168188432,10814090.179006068,179594.6892525968,451556.55,516064.63
10,29,5.43,3114.0,148.06,17.7,65.62,8.76,110.14,4.17,15.06,2.89,19.75,8.61,1.6,0.38,0.21,1.610923596,A2O,40.0587899,116.5764355,8070.85,8070.8499999999985,12.948497267759562,37.015,16.787499999999998,2.204914370811616,246156.8691525,661059.8614680001,2532.611173968,1847341.48347936,65023.255749234435,336979.13,385119.01
11,31,5.8239284,6998.0,205.25,19.4,60.59,4.81,196.64,6.4,24.84,0.47,31.56,9.58,3.25,0.24,0.19,1.022329836,A2O,40.14796,116.55095,8213.33,8213.33,12.559207650273224,51.3125,26.825999999999997,1.9127898307612021,243777.08716236067,1265854.468911876,3273.180590629376,1831910.5989239875,85520.48522299391,333721.31,381395.78
12,33,10.5704,10232.71,193.83,13.15,93.1,2.78,134.78,4.53,26.88,0.25,33.8,4.11,3.15,0.1,0.51,2.822669914,A2O,39.915848,116.728973,8070.85,8070.8499999999985,12.948497267759562,48.4575,28.729999999999997,1.6866515837104075,679856.112901,1574754.14645408,5218.04070145408,7973859.772829082,133970.03003385244,930696.45,1063653.08
13,34,2.2806724,129.91,72.04,18.7,36.66,5.18,45.47,10.89,14.67,2.27,20.02,11.25,1.93,0.47,0.27,5.061867267,A2O,39.83269,116.65978,8070.85,8070.8499999999985,12.948497267759562,18.01,17.017,1.0583534112945878,57760.54354148909,114626.1610401095,900.7026663076094,961305.859647152,23124.994640838242,79071.93,90367.92
14,38,19.4396172,13901.75,185.36,12.39,89.8,1.7,88.77,3.58,20.27,0.22,22.74,7.76,3.83,0.07,0.21,1.214083367,A2O,39.71863,115.96932,7792.13,7792.129999999999,13.710027322404372,46.34,19.328999999999997,2.39743390759998,1205979.565956969,1907435.297461027,8607.663858263526,6604372.69553567,213364.6191475983,1650938.9,1886787.31
15,40,2.2937044,1771.0,115.15,14.76,66.18,6.26,88.53,5.8,15.78,0.18,29.81,6.03,1.98,0.17,0.51,5.08018727,A2O,40.30054,116.68359,8716.09,8716.09,11.185546448087432,28.7875,25.3385,1.1361169761430234,104867.30674912831,224452.16479904088,1015.0203932165409,1727927.781246131,28143.453602955076,143559.24,164067.71
16,49,0.116202,83.7,169.3,35.27,57.11,8.56,74.15,7.06,21.4,1.19,25.01,11.52,2.7,0.32,0.4,2.984406476,A2O,39.915848,116.728973,8070.85,8070.8499999999985,12.948497267759562,42.325,21.2585,1.990968318554931,4584.602289884249,9524.027590122001,49.575225677622,69879.56522405245,1272.8138496725905,6276.14,7172.73
17,54,0.1728188,0.28,130.61,34.82,13.03,6.19,14.48,7.36,11.97,2.59,16.47,8.38,3.6,0.28,0.38,3.96701117,A2O,39.74288,116.34033,7792.13,7792.129999999999,13.710027322404372,32.6525,13.9995,2.3324047287403125,1555.64789191735,2766.0207490361604,62.33126052153615,98933.61843733072,1545.0516982490801,2129.62,2433.85
18,55,1.4377916,706.0,183.53,13.76,83.61,6.49,94.11,4.81,21.1,0.09,30.13,8.8,3.09,0.22,0.42,2.473935324,A2O,39.653165,116.666085,7996.75,7996.749999999999,13.150956284153006,45.8825,25.6105,1.7915503406805804,83048.17043681865,149564.18265392183,645.1260161864218,904913.8206822283,16411.149120505364,113689.7,129931.09
19,56,35.37464,37962.98,300.51,19.87,116.31,0.92,122.67,2.34,30.83,0.26,41.67,7.85,4.25,0.1,0.44,1.567844926,A2O,39.0031999,117.71071,7835.25,7835.249999999999,13.59221311,75.1275,35.4195,2.1210773726337186,2842398.6515129097,4796520.231534192,16989.053182034193,23261743.01058068,423450.7929894593,3891132.67,4447008.77
20,59,12.4166,21443.67,276.24,13.74,108.05,2.56,106.94,2.27,26.02,0.15,33.47,6.78,4.33,0.22,0.4,1.523809524,A2O,39.14588,117.42336,7835.25,7835.249999999999,13.59221311,69.06,28.449499999999997,2.427459182059439,926837.006115125,1467704.9430293604,5747.318944279361,7475882.461035589,143251.46542551683,1268803.64,1450061.3
21,60,2.108288,1091.3,236.33,16.26,103.17,5.56,106.68,6.19,44.9,0.46,49.53,10.05,4.16,0.09,0.59,2.680965147,A2O,38.955388,117.715952,7835.25,7835.249999999999,13.59221311,59.0825,42.1005,1.4033681310198218,150265.496703504,248604.4111789056,975.2654007789055,1821624.562223578,24308.412182247484,205707.59,235094.39
22,61,1.1185076,405.53,250.01,42.36,113.79,8.78,103.33,6.73,29.4,3.42,35.36,13.21,2.28,0.46,0.16,0.77052733,A2O,38.827667,117.462164,7835.25,7835.249999999999,13.59221311,62.5025,30.055999999999997,2.079534868245941,87926.32886034585,127750.10192304473,513.2647182805447,303256.4027973109,12793.082088838602,120367.71,137563.09
23,63,3.9814932,3070.24,359.73,27.91,159.46,7.34,89.07,6.53,26.72,2.3,40.83,11.71,2.83,0.35,0.52,1.567114701,A2O,38.85103,117.45906,7835.25,7835.249999999999,13.59221311,89.9325,34.7055,2.591303971992912,438605.0643721803,391988.49199679017,1764.28477637429,3054337.521157986,43974.657069468965,600433.19,686209.36
24,66,7.94952,1547.7,205.78,24.85,89.49,7.75,195.73,7.71,21.32,1.5,30.66,8.6,2.84,0.16,0.33,1.823909799,A2O,39.0031999,117.71071,7835.25,7835.249999999999,13.59221311,51.445,26.061,1.9740224857066113,491463.55554327,1719864.328554864,4459.815450054864,4034725.923961097,111160.54371467057,672794.4,768907.89
25,67,2.265396,4634.0,386.2,37.9,205.63,12.39,208.43,16.15,54.74,4.14,73.12,21.67,6.27,1.02,0.65,1.866207293,A2O,38.955388,117.715952,7835.25,7835.249999999999,13.59221311,96.55,62.152,1.5534496074140816,321815.16729651444,521915.5595554153,1302.7267671304153,2149861.019946608,32470.360571554706,440552.39,503488.44
26,70,10.819094,7859.9,173.84,18.76,73.32,3.2,95.57,4.0,20.89,0.3,27.81,7.38,2.87,0.09,0.37,2.38586536,A2O,39.290813,117.228324,8049.47,8049.469999999999,13.00691256830601,43.46,23.638499999999997,1.8385261332148828,548010.9726118168,1142900.3524825172,4871.903957595017,6063843.847331901,124751.82880752439,750205.6,857377.83
27,72,10.092198,23910.17,345.34,19.42,111.84,3.22,287.17,3.1,23.97,0.15,33.26,6.88,4.35,0.09,0.39,1.196612666,A2O,39.22748,117.03658,7860.05,7860.05,13.52445355191257,86.335,28.270999999999997,3.0538360864490115,779756.1785986681,3203470.412134185,6681.9356815466845,5977460.366243933,167073.86374021115,1067455.73,1219949.41
28,73,76.03448,87829.14,250.8,35.74,83.11,1.9,130.25,6.07,22.55,0.54,31.5,12.64,3.94,0.21,0.12,0.557983818,A2O,39.10498,117.07694,7860.05,7860.05,13.52445355191257,62.7,26.775,2.3417366946778713,4365558.038099471,10946724.764046801,37153.433942546806,16467094.185950935,928977.478358661,5976278.34,6830032.39
29,77,10.3001308,4750.2,134.16,9.6,42.6,3.53,136.01,5.66,14.56,0.67,19.08,8.8,2.96,0.22,0.17,1.36480411,A2O,38.961623,117.356792,7835.25,7835.249999999999,13.59221311,33.54,16.217999999999996,2.0680725120236776,303129.527651817,1548493.7861379765,5098.626993810477,2942079.10601421,127082.87039619464,414972.48,474254.26
30,81,2.6859676,2314.7,337.62,34.81,101.74,5.11,95.04,4.89,10.85,0.31,13.42,4.79,1.36,0.17,0.47,1.552128397,A2O,39.9084385,117.2826404,8236.76,8236.76,12.49519126,84.405,11.407,7.399403874813711,188785.4010133451,282164.9618605594,1207.9340570930594,1875696.8716068612,31650.498495240216,258439.84,295359.81
31,82,9.6450556,11194.61,138.19,12.91,62.44,0.57,116.47,0.59,8.12,0.26,13.07,5.63,2.99,0.14,0.39,3.11302682,A2O,39.43851,117.01725,7996.75,7996.749999999999,13.150956284153006,34.5475,11.1095,3.109725910256987,416048.0911631785,1241694.3287066089,4566.043586039108,5676227.624039382,116154.08509515329,569553.58,650918.37
32,83,0.8047984,1763.41,242.84,30.56,87.1,4.78,116.97,5.96,29.48,1.28,38.69,8.28,3.63,0.29,0.28,1.319012625,A2O,39.17232,116.93172,7860.05,7860.05,13.52445355191257,60.71,32.8865,1.8460462499809953,48426.286066886,104053.68874844833,381.4425472784484,351591.03552276903,9537.517750240753,66293.69,75764.22
33,85,0.9430824,1062.5,300.98,24.16,142.6,6.46,149.24,6.07,24.69,0.4,44.76,8.6,2.86,0.22,0.47,1.697854201,A2O,39.32506,117.07973,7996.75,7996.749999999999,13.150956284153006,75.245,38.046,1.977737475687326,92906.279638926,155571.76071038787,480.6227926653879,659714.5197633076,12226.40557541264,127185.07,145354.36
34,90,3.9604972,7033.34,195.66,17.45,103.35,4.5,64.19,2.7,52.66,0.32,56.61,5.22,4.12,0.08,0.4,2.244542955,A2O,39.37269,117.0397,7996.75,7996.749999999999,13.150956284153006,48.915,48.1185,1.0165528850649959,282771.79938825674,281004.3046383311,1646.063923940831,2380823.8236791166,41873.68024214204,387103.54,442404.05
35,94,4.32228,7735.84,235.92,19.36,73.19,5.11,167.71,6.44,24.48,0.44,34.98,8.63,2.57,0.15,0.36,1.662356853,A2O,38.832931,117.064479,7860.05,7860.05,13.52445355191257,58.98,29.732999999999997,1.9836545252749471,218544.83568430497,801249.447030792,2291.0042917807923,2369837.6436456153,57283.84065867319,299179.34,341919.24
36,98,2.3338864,608.32,110.94,13.76,53.45,3.2,115.62,0.95,24.28,0.18,27.38,8.07,2.99,0.2,0.49,5.042189751,A2O,39.3809099,117.7475699,8049.47,8049.469999999999,13.00691256830601,27.735,23.273,1.191724315730675,86179.37234121701,298269.30679413315,1102.687014924133,1695242.5732088825,28235.8237993678,117976.19,134829.93
37,107,7.5267764,5684.4,240.29,18.15,191.97,16.59,197.77,14.36,31.69,1.94,36.8,17.05,3.15,0.74,0.27,1.215449716,A2O,38.40632,115.34814,7509.2,7509.200000000001,14.483060109289616,60.0725,31.279999999999998,1.9204763427109974,998201.6497353829,1645376.592327274,4239.621205644773,3197885.960093896,101274.85819638349,1366499.05,1561713.2
38,111,2.3105012,596.0,132.79,13.99,66.55,4.51,83.3,5.86,25.13,0.55,30.88,9.04,1.87,0.13,0.32,2.693602694,A2O,38.83549,114.20005,8541.68,8541.68,11.66207650273224,33.1975,26.247999999999998,1.2647630295641572,106225.83708184525,212738.9867207864,1009.0965471982864,1135082.5156124658,27419.33603062383,145419.02,166193.17
39,112,17.2078148,8395.01,152.68,17.78,69.95,5.65,123.05,6.53,28.58,0.75,34.11,9.23,2.2,0.16,0.29,2.149740549,A2O,39.310476,115.90814,8188.24,8188.24,12.627759562841533,38.17,28.993499999999997,1.3165019745805095,831551.8727948054,2340470.8036574875,8271.466821004988,7757104.238624901,215453.72748595141,1138362.02,1300985.16
40,114,3.56208,1310.28,210.73,17.56,78.78,5.83,106.51,7.19,17.94,0.3,25.22,8.42,2.82,0.18,0.28,1.44950044,A2O,38.970838,115.852556,7616.84,7616.84,14.18896174863388,52.6825,21.436999999999998,2.457550030321407,193863.27686076,419362.835611872,1647.100496611872,1555336.7095722375,39909.45963230064,265391.25,303304.29
