Parameter,Value,C/N ratio,Energy consumption,Energy recovery
COD removal,0.7,2.3508653263049877,476492.718804657,4461209.482476016
COD removal,0.75,1.9590544385874893,476492.718804657,4461209.482476016
COD removal,0.8,1.5672435508699911,476492.718804657,4461209.482476016
BOD removal,0.45,1.9590544385874893,476492.718804657,4015088.534228415
BOD removal,0.5,1.9590544385874893,476492.718804657,4461209.482476016
BOD removal,0.55,1.9590544385874893,476492.718804657,4907330.430723619
TN removal,0.09999999999999999,1.850218080888184,476492.718804657,4461209.482476016
TN removal,0.15,1.9590544385874893,476492.718804657,4461209.482476016
TN removal,0.2,2.081495340999207,476492.718804657,4461209.482476016
SS removal,0.75,1.9590544385874893,470160.46172609035,4461209.482476016
SS removal,0.8,1.9590544385874893,476492.718804657,4461209.482476016
SS removal,0.8500000000000001,1.9590544385874893,482824.97588322364,4461209.482476016
Dosage,45.0,1.9590544385874893,466075.42070310784,4461209.482476016
Dosage,50.0,1.9590544385874893,476492.718804657,4461209.482476016
Dosage,55.00000000000001,1.9590544385874893,486910.0169062061,4461209.482476016
CEPT pro,4.5,1.9590544385874893,466075.42070310784,4461209.482476016
CEPT pro,5.0,1.9590544385874893,476492.718804657,4461209.482476016
CEPT pro,5.5,1.9590544385874893,486910.01690620603,4461209.482476016
CEPT EUI,0.027,1.9590544385874893,449392.356351447,4461209.482476016
CEPT EUI,0.03,1.9590544385874893,476492.718804657,4461209.482476016
CEPT EUI,0.033,1.9590544385874893,503593.08125786704,4461209.482476016
