Unnamed: 0,Plant ID,Average flow (MGD),Sludge yield (tone),CODinf,CODeff,BODinf,BODeff,SSinf,SSeff,NH3-Ninf,NH3-Neff,TNinf,TNeff,TPinf,TPeff,Flow based EUI (kWh/m^3),Pollutant removal based EUI (kWh/kg COD removed),Treatment process,Latitude,Longitude,Annual HDD,annual_hdd,avg_temp
0,1,6.5522724,14835.97,335.97,14.49,163.98,2.39,303.27,2.81,38.28,0.28,50.44,10.26,7.43,0.16,0.61,1.897474182,A2O,40.18437,116.26667,8213.33,8213.33,12.559207650273224
1,2,7.2207416,6708.06,379.67,23.54,115.75,5.78,366.27,7.17,31.84,1.52,44.79,11.68,8.19,0.4,0.36,1.010866818,A2O,40.148968,116.290595,8213.33,8213.33,12.559207650273224
2,3,1.8218736,3102.4,212.46,18.09,88.86,3.33,107.48,3.57,30.6,1.85,35.79,11.62,3.04,0.34,0.58,2.983999588,A2O,39.756206,116.45241,8213.33,8213.33,12.559207650273224
3,5,129.2938024,178452.41,538.09,12.89,217.01,1.02,306.49,2.5,38.32,0.41,50.14,9.03,5.65,0.11,0.58,1.104341203,A2O,39.9941159,116.3343273,8213.33,8213.33,12.559207650273224
4,7,139.5943676,215278.94,413.82,14.57,169.95,1.04,185.53,2.5,39.22,0.37,49.9,10.52,5.07,0.15,0.48,1.202254227,A2O,39.83298,116.45573,8213.33,8213.33,12.559207650273224
5,11,12.6894756,2561.74,149.34,12.85,71.7,5.8,175.11,4,16.44,1.02,19.95,6.15,2.08,0.28,0.24,1.758370577,A2O,39.945213,116.418944,8213.33,8213.33,12.559207650273224
6,14,77.7213276,107172.61,578.98,13.13,281.18,1.03,330.11,2.5,35.61,0.37,51.62,9.19,8.69,0.11,0.45,0.795263762,A2O,40.057896,116.462308,8213.33,8213.33,12.559207650273224
7,15,26.9301936,33365.79,429.33,20.13,202.71,2.96,284.32,3.21,43.63,0.31,51.56,14.57,5.35,0.32,0.23,0.562072336,A2O,39.839826,116.308629,8213.33,8213.33,12.559207650273224
8,20,3.3562468,2880.76,251.44,7.92,101.34,4.06,100.99,6.58,16.89,0.79,27.95,8.4,1.82,0.3,0.4,1.642575558,A2O,39.750652,116.19926,8213.33,8213.33,12.559207650273224
9,22,12.6952676,8894.79,113.65,10.03,37.61,2.52,178.02,3.88,19.94,0.46,28.28,8.11,2.94,0.18,0.58,5.597375024,A2O,39.793176,116.189968,8213.33,8213.33,12.559207650273224
10,29,5.43,3114,148.06,17.7,65.62,8.76,110.14,4.17,15.06,2.89,19.75,8.61,1.6,0.38,0.21,1.610923596,A2O,40.0587899,116.5764355,8070.85,8070.8499999999985,12.948497267759562
11,31,5.8239284,6998,205.25,19.4,60.59,4.81,196.64,6.4,24.84,0.47,31.56,9.58,3.25,0.24,0.19,1.022329836,A2O,40.14796,116.55095,8213.33,8213.33,12.559207650273224
12,33,10.5704,10232.71,193.83,13.15,93.1,2.78,134.78,4.53,26.88,0.25,33.8,4.11,3.15,0.1,0.51,2.822669914,A2O,39.915848,116.728973,8070.85,8070.8499999999985,12.948497267759562
13,34,2.2806724,129.91,72.04,18.7,36.66,5.18,45.47,10.89,14.67,2.27,20.02,11.25,1.93,0.47,0.27,5.061867267,A2O,39.83269,116.65978,8070.85,8070.8499999999985,12.948497267759562
14,38,19.4396172,13901.75,185.36,12.39,89.8,1.7,88.77,3.58,20.27,0.22,22.74,7.76,3.83,0.07,0.21,1.214083367,A2O,39.71863,115.96932,7792.13,7792.129999999999,13.710027322404372
15,40,2.2937044,1771,115.15,14.76,66.18,6.26,88.53,5.8,15.78,0.18,29.81,6.03,1.98,0.17,0.51,5.08018727,A2O,40.30054,116.68359,8716.09,8716.09,11.185546448087432
16,49,0.116202,83.7,169.3,35.27,57.11,8.56,74.15,7.06,21.4,1.19,25.01,11.52,2.7,0.32,0.4,2.984406476,A2O,39.915848,116.728973,8070.85,8070.8499999999985,12.948497267759562
17,54,0.1728188,0.28,130.61,34.82,13.03,6.19,14.48,7.36,11.97,2.59,16.47,8.38,3.6,0.28,0.38,3.96701117,A2O,39.74288,116.34033,7792.13,7792.129999999999,13.710027322404372
18,55,1.4377916,706,183.53,13.76,83.61,6.49,94.11,4.81,21.1,0.09,30.13,8.8,3.09,0.22,0.42,2.473935324,A2O,39.653165,116.666085,7996.75,7996.749999999999,13.150956284153006
19,56,35.37464,37962.98,300.51,19.87,116.31,0.92,122.67,2.34,30.83,0.26,41.67,7.85,4.25,0.1,0.44,1.567844926,A2O,39.0031999,117.71071,7835.25,7835.249999999999,13.59221311
