Plant ID,Average flow (MGD),Sludge yield (tone),CODinf,CODeff,BODinf,BODeff,SSinf,SSeff,NH3-Ninf,NH3-Neff,TNinf,TNeff,TPinf,TPeff,EUI (kWh/m3),Treatment process,Latitude,Longitude,Annual HDD,Annual average temperature
1,6.5522724,14835.97,335.97,14.49,163.98,2.39,303.27,2.81,38.28,0.28,50.44,10.26,7.43,0.16,0.61,A2O,40.18437,116.26667,8213.33,12.55920765
2,7.2207416,6708.06,379.67,23.54,115.75,5.78,366.27,7.17,31.84,1.52,44.79,11.68,8.19,0.4,0.36,A2O,40.148968,116.290595,8213.33,12.55920765
3,1.8218736,3102.4,212.46,18.09,88.86,3.33,107.48,3.57,30.6,1.85,35.79,11.62,3.04,0.34,0.58,A2O,39.756206,116.45241,8213.33,12.55920765
4,1.8029772,2111.58,417.87,27.07,141.65,12.02,144.51,6.25,63.34,0.96,79.44,9.78,6.37,0.17,0.58,AO,39.82159,116.551552,8213.33,12.55920765
5,129.2938024,178452.41,538.09,12.89,217.01,1.02,306.49,2.5,38.32,0.41,50.14,9.03,5.65,0.11,0.58,A2O,39.9941159,116.3343273,8213.33,12.55920765
6,20.8451184,32777.91,461.8,13.9,196.62,1.01,202.48,2.5,43.35,0.15,54.42,9.41,5.7,0.11,0.48,SBR,39.8831277,116.2534048,8213.33,12.55920765
7,139.5943676,215278.94,413.82,14.57,169.95,1.04,185.53,2.5,39.22,0.37,49.9,10.52,5.07,0.15,0.48,A2O,39.83298,116.45573,8213.33,12.55920765
8,2.421418,1961.06,155.06,14.49,80.05,2.09,74.47,4,34.45,0.2,38.91,6.63,4.13,0.14,0.91,SBR,40.07967,116.15761,8213.33,12.55920765
9,3.9101792,2183.11,199.23,18.22,66.8,6.51,165.3,11.32,13.18,3.02,17.57,9.77,2.02,0.68,0.24,OD,40.053627,116.187079,8213.33,12.55920765
10,4.464908,6783,173.65,19.91,89.6,2.19,83.21,7.97,39.41,0.26,43.9,10.73,5.03,0.14,0.72,OD,40.04842,116.26378,8213.33,12.55920765
11,12.6894756,2561.74,149.34,12.85,71.7,5.8,175.11,4,16.44,1.02,19.95,6.15,2.08,0.28,0.24,A2O,39.945213,116.418944,8213.33,12.55920765
12,11.0926936,16632.52,270.52,15.5,98.19,2.38,140.1,4,45.57,0.45,60.21,7.58,5.51,0.13,0.7,A2O,39.889526,116.144132,8213.33,12.55920765
13,112.0161216,166394.59,343.44,15.91,137.3,1.3,156.61,2.5,45.69,0.33,56.02,9.28,5.1,0.15,0.8,A2O,39.83524,116.40167,8213.33,12.55920765
