,Province,Treated volume,Sludge yield,CODinf,CODeff,BODinf,BODeff,SSinf,SSeff,NH3-Ninf,NH3-Neff,TNinf,TNeff,TPinf,TPeff,Electricity consumption,Treatment process
1 ,Beijing,19281.00 ,215278.94 ,413.82 ,14.57 ,169.95 ,1.04 ,185.53 ,2.50 ,39.22 ,0.37 ,49.90 ,10.52 ,5.07 ,0.15 ,0.48 ,A2O
2 ,Beijing,7847.10 ,83717.27 ,496.75 ,15.12 ,218.03 ,1.00 ,252.16 ,2.50 ,39.86 ,0.27 ,50.39 ,6.85 ,5.23 ,0.10 ,0.55 ,OD
3 ,Beijing,32655.54 ,289412.76 ,463.55 ,16.76 ,203.34 ,1.10 ,205.37 ,2.50 ,35.92 ,0.27 ,47.50 ,11.90 ,5.05 ,0.09 ,0.44 ,CAS
4 ,Beijing,1393.19 ,11230.54 ,290.81 ,10.58 ,112.77 ,2.44 ,126.73 ,2.37 ,31.34 ,0.33 ,42.89 ,8.11 ,4.45 ,0.14 ,1.22 ,A2O
5 ,Beijing,17858.26 ,178452.41 ,538.09 ,12.89 ,217.01 ,1.02 ,306.49 ,2.50 ,38.32 ,0.41 ,50.14 ,9.03 ,5.65 ,0.11 ,0.58 ,A2O
6 ,Beijing,3719.63 ,33365.79 ,429.33 ,20.13 ,202.71 ,2.96 ,284.32 ,3.21 ,43.63 ,0.31 ,51.56 ,14.57 ,5.35 ,0.32 ,0.23 ,A2O
7 ,Beijing,2879.16 ,32777.91 ,461.80 ,13.90 ,196.62 ,1.01 ,202.48 ,2.50 ,43.35 ,0.15 ,54.42 ,9.41 ,5.70 ,0.11 ,0.48 ,SBR
8 ,Beijing,1538.20 ,8728.14 ,288.70 ,21.74 ,123.82 ,5.76 ,141.19 ,7.00 ,39.20 ,0.57 ,52.90 ,12.47 ,4.91 ,0.27 ,0.28 ,AO
9 ,Beijing,5143.28 ,48958.08 ,230.60 ,15.49 ,141.43 ,1.34 ,135.99 ,2.91 ,39.31 ,0.28 ,45.69 ,9.02 ,4.96 ,0.09 ,0.54 ,CAS
10 ,Beijing,1202.98 ,20967.71 ,521.52 ,23.10 ,208.08 ,5.29 ,271.52 ,7.17 ,51.70 ,0.62 ,61.69 ,12.18 ,7.15 ,0.26 ,0.61 ,OD
11 ,Beijing,4106.98 ,37688.45 ,475.77 ,17.86 ,240.87 ,3.99 ,331.46 ,2.76 ,37.28 ,0.68 ,51.15 ,6.41 ,6.06 ,0.17 ,0.78 ,Other
12 ,Beijing,2657.62 ,25583.98 ,410.71 ,26.50 ,166.47 ,2.00 ,214.07 ,5.00 ,23.86 ,0.93 ,39.33 ,9.52 ,7.44 ,0.22 ,0.75 ,OD
13 ,Beijing,2419.74 ,26780.36 ,416.35 ,13.99 ,250.94 ,3.50 ,419.91 ,4.31 ,28.76 ,0.23 ,39.12 ,8.63 ,2.93 ,0.15 ,0.65 ,Other
14 ,Beijing,1068.90 ,23984.00 ,501.89 ,24.14 ,211.31 ,4.06 ,182.49 ,5.00 ,52.86 ,1.33 ,65.24 ,21.26 ,5.98 ,0.23 ,0.76 ,A2O
15 ,Beijing,549.71 ,5895.79 ,339.59 ,18.31 ,127.00 ,4.72 ,151.42 ,4.38 ,43.20 ,0.45 ,52.81 ,8.12 ,5.23 ,0.19 ,0.57 ,OD
16 ,Beijing,800.10 ,2307.00 ,203.84 ,30.75 ,69.30 ,1.90 ,75.16 ,4.32 ,19.28 ,1.13 ,31.06 ,16.56 ,2.33 ,0.66 ,0.27 ,Other
17 ,Beijing,3112.94 ,27371.91 ,448.94 ,14.14 ,200.26 ,1.09 ,170.65 ,2.50 ,41.13 ,0.23 ,51.39 ,7.22 ,5.31 ,0.12 ,0.68 ,CAS
18 ,Beijing,463.55 ,3397.00 ,366.73 ,18.45 ,128.18 ,7.70 ,131.82 ,8.15 ,76.32 ,0.98 ,79.27 ,9.24 ,6.79 ,0.23 ,0.34 ,CAS
19 ,Beijing,2515.42 ,16686.45 ,313.29 ,12.05 ,166.58 ,4.06 ,122.43 ,0.83 ,31.27 ,0.16 ,48.15 ,9.00 ,5.53 ,0.15 ,0.53 ,A2O
20 ,Beijing,997.32 ,6708.06 ,379.67 ,23.54 ,115.75 ,5.78 ,366.27 ,7.17 ,31.84 ,1.52 ,44.79 ,11.68 ,8.19 ,0.40 ,0.36 ,A2O
21 ,Beijing,911.00 ,3470.40 ,247.77 ,10.66 ,154.93 ,3.66 ,172.78 ,3.25 ,28.67 ,0.37 ,32.26 ,11.16 ,4.61 ,0.01 ,0.35 ,OD
22 ,Beijing,192.73 ,2632.81 ,304.76 ,21.01 ,100.34 ,5.89 ,189.18 ,6.80 ,31.67 ,0.68 ,44.14 ,13.82 ,4.40 ,0.56 ,1.34 ,OD
23 ,Beijing,2490.49 ,11684.00 ,58.27 ,14.34 ,30.07 ,3.53 ,22.66 ,3.96 ,17.95 ,0.36 ,27.99 ,11.19 ,1.29 ,0.10 ,0.97 ,A2O
24 ,Beijing,537.94 ,2336.83 ,175.72 ,20.20 ,90.63 ,2.21 ,84.20 ,8.01 ,38.77 ,0.26 ,43.50 ,10.72 ,5.14 ,0.16 ,0.54 ,A2O
25 ,Beijing,334.45 ,1961.06 ,155.06 ,14.49 ,80.05 ,2.09 ,74.47 ,4.00 ,34.45 ,0.20 ,38.91 ,6.63 ,4.13 ,0.14 ,0.91 ,SBR
26 ,Beijing,616.71 ,6783.00 ,173.65 ,19.91 ,89.60 ,2.19 ,83.21 ,7.97 ,39.41 ,0.26 ,43.90 ,10.73 ,5.03 ,0.14 ,0.72 ,OD
27 ,Beijing,1623.57 ,12781.27 ,240.19 ,14.96 ,117.45 ,3.34 ,109.63 ,3.48 ,39.74 ,0.37 ,43.73 ,10.11 ,5.76 ,0.18 ,0.60 ,CAS
28 ,Beijing,270.33 ,1875.97 ,158.94 ,14.87 ,69.07 ,1.10 ,130.16 ,2.46 ,29.67 ,0.39 ,35.80 ,8.38 ,3.90 ,0.17 ,0.96 ,Other
29 ,Beijing,2517.29 ,27221.62 ,458.44 ,9.41 ,219.46 ,3.78 ,439.67 ,2.14 ,31.78 ,0.20 ,36.62 ,10.95 ,5.79 ,0.17 ,0.65 ,OD
30 ,Beijing,628.56 ,5594.10 ,322.90 ,29.26 ,151.30 ,2.98 ,234.43 ,2.78 ,34.42 ,0.53 ,45.16 ,10.52 ,4.51 ,0.27 ,0.32 ,SBR
31 ,Beijing,11.59 ,986.29 ,236.13 ,26.03 ,109.20 ,6.20 ,201.07 ,6.20 ,29.69 ,0.63 ,36.65 ,6.59 ,3.66 ,0.28 ,0.54 ,CAS
32 ,Beijing,15471.84 ,166394.59 ,343.44 ,15.91 ,137.30 ,1.30 ,156.61 ,2.50 ,45.69 ,0.33 ,56.02 ,9.28 ,5.10 ,0.15 ,0.80 ,A2O
33 ,Beijing,6112.08 ,62368.64 ,324.63 ,18.02 ,139.43 ,1.10 ,162.41 ,2.50 ,31.52 ,0.40 ,41.49 ,10.17 ,4.49 ,0.13 ,0.43 ,A2O
34 ,Beijing,10643.69 ,74245.53 ,290.38 ,11.69 ,134.03 ,1.02 ,161.39 ,2.50 ,27.02 ,0.23 ,36.48 ,9.11 ,4.51 ,0.13 ,0.41 ,A2O
35 ,Beijing,10734.97 ,107172.61 ,578.98 ,13.13 ,281.18 ,1.03 ,330.11 ,2.50 ,35.61 ,0.37 ,51.62 ,9.19 ,8.69 ,0.11 ,0.45 ,A2O
36 ,Beijing,1532.16 ,16632.52 ,270.52 ,15.50 ,98.19 ,2.38 ,140.10 ,4.00 ,45.57 ,0.45 ,60.21 ,7.58 ,5.51 ,0.13 ,0.70 ,A2O
37 ,Beijing,1373.80 ,14938.46 ,273.01 ,12.20 ,185.67 ,2.33 ,119.33 ,3.04 ,37.41 ,0.23 ,45.01 ,6.37 ,5.35 ,0.09 ,0.72 ,A2O
38 ,Beijing,140.08 ,297.54 ,107.29 ,9.76 ,57.75 ,2.14 ,99.28 ,4.42 ,23.21 ,0.25 ,30.56 ,5.42 ,2.34 ,0.09 ,0.96 ,A2O
39 ,Beijing,0.72 ,0.80 ,98.50 ,11.36 ,54.76 ,0.50 ,123.01 ,4.39 ,15.21 ,0.24 ,22.32 ,6.64 ,1.72 ,0.13 ,3.35 ,AO
40 ,Beijing,7.24 ,10.00 ,131.32 ,21.73 ,79.90 ,1.83 ,121.16 ,4.33 ,27.76 ,0.37 ,35.09 ,7.27 ,2.72 ,0.15 ,2.11 ,A2O
41 ,Beijing,75.66 ,8.92 ,268.06 ,8.36 ,136.11 ,2.00 ,69.20 ,2.50 ,13.39 ,0.22 ,44.88 ,7.99 ,7.12 ,0.19 ,1.21 ,A2O
42 ,Beijing,38.30 ,47.02 ,110.03 ,21.63 ,83.50 ,1.73 ,168.00 ,4.73 ,20.30 ,0.32 ,29.04 ,6.87 ,2.23 ,0.12 ,1.96 ,A2O
43 ,Beijing,0.75 ,0.20 ,103.63 ,23.19 ,83.32 ,1.85 ,134.08 ,4.84 ,26.21 ,0.32 ,32.84 ,5.08 ,2.21 ,0.08 ,4.48 ,A2O
44 ,Beijing,3.37 ,0.95 ,111.86 ,22.45 ,79.80 ,1.77 ,93.00 ,4.47 ,22.17 ,0.44 ,30.31 ,6.11 ,2.18 ,0.12 ,4.06 ,CAS
45 ,Beijing,0.64 ,1.10 ,146.30 ,24.42 ,81.89 ,0.50 ,167.00 ,5.00 ,27.02 ,0.53 ,42.50 ,11.41 ,2.59 ,0.28 ,1.84 ,AO
