省/直辖市,地市,Permit,单位名称,行业类别,有效期限,发证日期
甘肃省,定西市,91621124MA73BFWC51001U,临洮县清洮污水处理有限责任公司,污水处理及其再生利用,2022-10-30至2027-10-29,2022-10-29
甘肃省,定西市,91621124MA71XH0B7U001U,临洮县中铺工业园给排水工程有限公司,污水处理及其再生利用,2022-04-15至2027-04-14,2022-04-05
四川省,遂宁市,91510900MA68WA6T2Q045V,南强工业污水处理厂,污水处理及其再生利用,2024-06-26至2029-06-25,2024-06-26
安徽省,滁州市,91341125MA2TCN38XJ018V,定远县城乡水务投资建设有限公司,污水处理及其再生利用,2024-06-25至2029-06-24,2024-06-25
山东省,聊城市,91371521050903670Q001V,阳谷县瀚海水处理有限公司,污水处理及其再生利用,2024-06-25至2029-06-24,2024-06-25
甘肃省,武威市,12622322438681154E001X,民勤县给排水管理站,污水处理及其再生利用,2024-06-29至2029-06-28,2024-05-20
安徽省,淮南市,913404005518409111001V,淮南市银丰建设投资有限责任公司,污水处理及其再生利用,2024-06-25至2029-06-24,2024-06-25
云南省,昆明市,91530102MAC1EL6B11002V,昆明渝润水务有限公司（昆明市第十一水质净化厂）,污水处理及其再生利用,2024-06-24至2029-06-23,2024-06-24
浙江省,嘉兴市,91330411MA2JD1UM2M001V,嘉兴市秀洲工业水生态环保有限公司,污水处理及其再生利用,2024-02-02至2029-02-01,2024-02-02
江西省,九江市,91360430MA38UUYX1D001R,博瑞德（九江）水务有限公司（濂溪区第二污水处理厂）,污水处理及其再生利用,2022-07-12至2027-07-11,2022-06-14
安徽省,淮南市,913404005518409111001V,淮南市银丰建设投资有限责任公司,污水处理及其再生利用,2024-06-25至2029-06-24,2024-06-25
云南省,昆明市,91530102MAC1EL6B11002V,昆明渝润水务有限公司（昆明市第十一水质净化厂）,污水处理及其再生利用,2024-06-24至2029-06-23,2024-06-24
浙江省,嘉兴市,91330411MA2JD1UM2M001V,嘉兴市秀洲工业水生态环保有限公司,污水处理及其再生利用,2024-02-02至2029-02-01,2024-02-02
江西省,九江市,91360430MA38UUYX1D001R,博瑞德（九江）水务有限公司（濂溪区第二污水处理厂）,污水处理及其再生利用,2022-07-12至2027-07-11,2022-06-14
北京市,市辖区,911101157426068536001V,北京市五连环投资有限公司,污水处理及其再生利用,2024-06-24至2029-06-23,2024-06-24
山东省,淄博市,91370300782321588C004V,光大水务（淄博）有限公司水质净化一分厂（新厂）,污水处理及其再生利用,2023-11-14至2028-11-13,2023-11-14
福建省,泉州市,91350504MADNWQM74D001U,益琨（泉州）环保技术开发有限公司泉州洛江分公司,污水处理及其再生利用,2022-06-26至2027-06-25,2022-06-24
山东省,淄博市,91370300782321588C003U,光大水务（淄博）有限公司水质净化三分厂,污水处理及其再生利用,2023-11-14至2028-11-13,2023-11-14
四川省,眉山市,915114213093737616021V,牧马镇第二污水处理厂,污水处理及其再生利用,2024-06-21至2029-06-20,2024-06-21
安徽省,马鞍山市,91340500MA2MXMQ73Q001Q,马鞍山中冶濮塘建设有限公司,污水处理及其再生利用,2024-03-21至2029-03-20,2024-03-21
新疆生产建设兵团,第三师,91510106072446650U002V,中铁工程服务有限公司（达坂山园区污水处理厂）,污水处理及其再生利用,2024-04-28至2029-04-27,2024-04-28
湖北省,荆州市,91421087MA49326W48001C,松滋市临港污水处理有限公司,污水处理及其再生利用,2024-04-18至2029-04-17,2024-04-18
甘肃省,定西市,916211007734288181002V,定西水务清源污水净化有限公司新市区污水处理厂,污水处理及其再生利用,2023-05-19至2028-05-18,2023-05-19
陕西省,延安市,91610131MA6U2E3L5R003V,陕西海吉雅环保科技有限公司,污水处理及其再生利用,2024-06-19至2029-06-18,2024-06-19
安徽省,芜湖市,91340221MA2T1XQK1T001Q,安徽芜辛水务有限责任公司,污水处理及其再生利用,2024-06-21至2029-06-20,2024-06-21
福建省,龙岩市,91350881743844677R004V,漳平市华寮化工集中区污水处理厂,污水处理及其再生利用,2023-11-23至2028-11-22,2023-11-23
云南省,文山壮族苗族自治州,91532627MA6QJE0L58001V,广南星恒数字经济产业投资有限责任公司,污水处理及其再生利用,2024-06-21至2029-06-20,2024-06-21
广东省,东莞市,12441900752090926J002V,东莞市常平镇公用事业服务中心（常平镇笑金坑渗滤液处理站）,污水处理及其再生利用,2024-06-21至2029-06-20,2024-06-21
安徽省,马鞍山市,91340500MA2Q39X3X9002V,马鞍山广业环境治理有限公司(表面处理中心的污染治理中心),污水处理及其再生利用,2022-07-16至2027-07-15,2022-07-16
安徽省,马鞍山市,91340103MA2P07BR3P001U,郑蒲港白桥镇污水处理厂,污水处理及其再生利用,2024-03-18至2029-03-17,2024-03-18
安徽省,马鞍山市,91340523MA2W94XR05001R,和县三峡水环境综合治理有限责任公司,污水处理及其再生利用,2024-06-20至2029-06-19,2024-06-20
山东省,泰安市,91370000869611035L002V,新汶矿业集团有限责任公司孙村煤矿华源矿井水处理厂,污水处理及其再生利用,2024-06-20至2029-06-19,2024-06-20
天津市,市辖区,91120224596133401F003X,天津市润达环境治理服务有限公司（天津武清汽车产业园有限公司污水处理厂）,污水处理及其再生利用,2024-06-20至2029-06-19,2024-06-20
四川省,广元市,915108125557592483004V,朝天经开区七盘关片农产品加工园污水处理站（C区）,污水处理及其再生利用,2024-06-18至2029-06-17,2024-06-18
安徽省,芜湖市,91340221MA2MT91L1D001U,芜湖东华六郎水务有限责任公司殷港污水处理厂,污水处理及其再生利用,2022-08-24至2027-08-23,2022-08-01
天津市,市辖区,91120000103065501J004Q,天津创业环保集团股份有限公司咸阳路污水处理厂（新厂),污水处理及其再生利用,2024-06-20至2029-06-19,2024-06-20
浙江省,杭州市,91330122MA2AX2L416001Q,桐庐紫光水务有限公司,污水处理及其再生利用,2024-06-20至2029-06-19,2024-06-20
河南省,洛阳市,91410394MA9NHBGM9A001U,河南鼎科实业发展有限公司西石罢污水处理站,污水处理及其再生利用,2024-03-22至2029-03-21,2024-03-22
安徽省,淮南市,913404220822495976001Q,寿县新桥污水处理有限公司,污水处理及其再生利用,2024-03-31至2029-03-30,2024-03-31
广西壮族自治区,玉林市,914509226998698842189Q,陆川县小城镇建设有限公司（九洲江环保产业园污水处理厂）,污水处理及其再生利用,2024-06-19至2029-06-18,2024-06-19
福建省,泉州市,913505827685838562001R,福建凤竹环保有限公司,污水处理及其再生利用,2024-06-20至2029-06-19,2024-06-20
安徽省,滁州市,91341181MA2TEEEK4P001V,天长市水安金牛湖新区建设投资有限公司,污水处理及其再生利用,2024-07-05至2029-07-04,2024-06-19
北京市,市辖区,91110105098529550Y003R,长子营镇留民营污水处理站,污水处理及其再生利用,2022-04-07至2027-04-06,2022-04-07
天津市,市辖区,91120224684738443A001Q,天津地成建设投资有限公司（京津新城第二污水处理厂）,污水处理及其再生利用,2024-06-19至2029-06-18,2024-06-19
陕西省,宝鸡市,91610327MA6XKXQ29H001Q,陇县洁源环保工程有限公司,污水处理及其再生利用,2024-04-10至2029-04-09,2024-04-10
山东省,德州市,91371482MAD67HDN16002V,禹城市恒源水务有限公司（禹城市污水处理厂）,污水处理及其再生利用,2024-06-19至2029-06-18,2024-06-19
山东省,泰安市,91370900MA3QD12W47001R,泰安岱岳区中环水务有限公司,污水处理及其再生利用,2024-06-19至2029-06-18,2024-06-19
四川省,成都市,915101007348085435003W,成都市排水有限责任公司（成都市第七再生水厂）,污水处理及其再生利用,2021-12-14至2026-12-13,2021-11-18
