OID_,Capacity__10000_ton_,Actual_volume_in_2019__10000_ton_,Sludge_yield,CODinf,CODeff,BODinf,BODeff,SSinf,SSeff,NH3_Ninf,NH3_Neff,TNinf,TNeff,TPinf,TPeff,Electricity_consumption,Treatment_process,Latitude,Longitude
1,6,1862.730000000000018,33555.980000000003201,375.139999999999986,13.930000000000000,110.810000000000002,2.720000000000000,358.790000000000020,3.460000000000000,32.750000000000000,0.29,44.460000000000001,10.650000000000000,7.970000000000000,0.17,0.5,A2O,40.148968000000004,116.290594999999996
2,3,905.009999999999991,14835.969999999999345,335.970000000000027,14.490000000000000,163.979999999999990,2.390000000000000,303.269999999999982,2.810000000000000,38.280000000000001,0.28,50.439999999999998,10.260000000000000,7.430000000000000,0.16,0.61,A2O,40.184370000000001,116.266670000000005
3,3,997.340000000000032,6708.060000000000400,379.670000000000016,23.539999999999999,115.750000000000000,5.780000000000000,366.269999999999982,7.170000000000000,31.840000000000000,1.520000000000000,44.789999999999999,11.680000000000000,8.190000000000000,0.4,0.36,A2O,40.148968000000004,116.290594999999996
4,3,251.639999999999986,3102.400000000000091,212.460000000000008,18.090000000000000,88.859999999999999,3.330000000000000,107.480000000000004,3.570000000000000,30.600000000000001,1.850000000000000,35.789999999999999,11.619999999999999,3.040000000000000,0.34,0.58,A2O,39.756205999999999,116.452410000000000
5,1,249.030000000000001,2111.579999999999927,417.870000000000005,27.070000000000000,141.650000000000006,12.020000000000000,144.509999999999991,6.250000000000000,63.340000000000003,0.96,79.439999999999998,9.779999999999999,6.370000000000000,0.17,0.58,AO,39.821590000000000,116.551552000000001
6,55,17858.259999999998399,178452.410000000003492,538.090000000000032,12.890000000000001,217.009999999999991,1.020000000000000,306.490000000000009,2.500000000000000,38.320000000000000,0.41,50.140000000000001,9.029999999999999,5.650000000000000,0.11,0.58,A2O,39.994115899999997,116.334327299999998
7,8,2879.159999999999854,32777.910000000003492,461.800000000000011,13.900000000000000,196.620000000000005,1.010000000000000,202.479999999999990,2.500000000000000,43.350000000000001,0.15,54.420000000000002,9.410000000000000,5.700000000000000,0.11,0.48,SBR,39.883127700000003,116.253404799999998
8,60,19280.990000000001601,215278.940000000002328,413.819999999999993,14.570000000000000,169.949999999999989,1.040000000000000,185.530000000000001,2.500000000000000,39.219999999999999,0.37,49.899999999999999,10.520000000000000,5.070000000000000,0.15,0.48,A2O,39.832979999999999,116.455730000000003
9,2,334.449999999999989,1961.059999999999945,155.060000000000002,14.490000000000000,80.049999999999997,2.090000000000000,74.469999999999999,4.000000000000000,34.450000000000003,0.2,38.909999999999997,6.630000000000000,4.130000000000000,0.14,0.91,SBR,40.079670000000000,116.157610000000005
10,2,540.080000000000041,2183.110000000000127,199.229999999999990,18.219999999999999,66.799999999999997,6.510000000000000,165.300000000000011,11.320000000000000,13.180000000000000,3.020000000000000,17.570000000000000,9.770000000000000,2.020000000000000,0.68,0.24,OD,40.053626999999999,116.187078999999997
11,2,616.700000000000045,6783.000000000000000,173.650000000000006,19.910000000000000,89.599999999999994,2.190000000000000,83.209999999999994,7.970000000000000,39.409999999999997,0.26,43.899999999999999,10.730000000000000,5.030000000000000,0.14,0.72,OD,40.048420000000000,116.263779999999997
12,5,1752.690000000000055,2561.739999999999782,149.340000000000003,12.850000000000000,71.700000000000003,5.800000000000000,175.110000000000014,4.000000000000000,16.440000000000001,1.020000000000000,19.949999999999999,6.150000000000000,2.080000000000000,0.28,0.24,A2O,39.945213000000003,116.418943999999996
13,8,1532.140000000000100,16632.520000000000437,270.519999999999982,15.500000000000000,98.189999999999998,2.380000000000000,140.099999999999994,4.000000000000000,45.570000000000000,0.45,60.210000000000001,7.580000000000000,5.510000000000000,0.13,0.7,A2O,39.889525999999996,116.144131999999999
14,60,15471.840000000000146,166394.589999999996508,343.439999999999998,15.910000000000000,137.300000000000011,1.300000000000000,156.610000000000014,2.500000000000000,45.689999999999998,0.33,56.020000000000003,9.279999999999999,5.100000000000000,0.15,0.8,A2O,39.835239999999999,116.401669999999996
15,50,10734.989999999999782,107172.610000000000582,578.980000000000018,13.130000000000001,281.180000000000007,1.030000000000000,330.110000000000014,2.500000000000000,35.609999999999999,0.37,51.619999999999997,9.190000000000000,8.690000000000000,0.11,0.45,A2O,40.057896000000000,116.462307999999993
16,10,3719.639999999999873,33365.790000000000873,429.329999999999984,20.129999999999999,202.710000000000008,2.960000000000000,284.319999999999993,3.210000000000000,43.630000000000003,0.31,51.560000000000002,14.570000000000000,5.350000000000000,0.32,0.23,A2O,39.839826000000002,116.308628999999996
17,8,2494.239999999999782,10267.059999999999491,224.080000000000013,13.470000000000001,88.390000000000001,1.300000000000000,107.859999999999999,3.100000000000000,28.600000000000001,0.23,33.310000000000002,11.109999999999999,3.610000000000000,0.2,0.46,AO,40.092149900000003,116.215850000000003
18,6.5,463.170000000000016,3397.000000000000000,366.730000000000018,18.449999999999999,128.180000000000007,7.700000000000000,131.819999999999993,8.150000000000000,76.319999999999993,0.98,79.269999999999996,9.240000000000000,6.790000000000000,0.23,0.34,CAS,40.331910000000001,116.827160000000006
19,1,114.549999999999997,21.960000000000001,139.879999999999995,30.530000000000001,146.039999999999992,13.410000000000000,153.300000000000011,11.140000000000001,32.229999999999997,4.750000000000000,32.009999999999998,10.970000000000001,3.340000000000000,1.000000000000000,0.27,SBR,40.187601000000001,116.739845000000003
20,0.5,143.699999999999989,0,33.390000000000001,14.000000000000000,19.399999999999999,6.650000000000000,56.570000000000000,5.500000000000000,2.920000000000000,0.46,11.029999999999999,4.820000000000000,0.42,0.22,0.31,OD,39.573089899999999,115.896850000000001
21,2,463.569999999999993,2880.760000000000218,251.439999999999998,7.920000000000000,101.340000000000003,4.060000000000000,100.989999999999995,6.580000000000000,16.890000000000001,0.79,27.949999999999999,8.400000000000000,1.820000000000000,0.3,0.4,A2O,39.750652000000002,116.199259999999995
22,18,3820.000000000000000,22436.529999999998836,170.469999999999999,17.489999999999998,57.630000000000003,1.290000000000000,165.500000000000000,5.280000000000000,17.430000000000000,0.57,22.100000000000001,10.350000000000000,2.260000000000000,0.25,0.23,OD,40.033827000000002,116.630066999999997
23,5,1753.490000000000009,8894.790000000000873,113.650000000000006,10.029999999999999,37.609999999999999,2.520000000000000,178.020000000000010,3.880000000000000,19.940000000000001,0.46,28.280000000000001,8.109999999999999,2.940000000000000,0.18,0.58,A2O,39.793176000000003,116.189967999999993
24,6,1373.809999999999945,14938.459999999999127,273.009999999999991,12.199999999999999,185.669999999999987,2.330000000000000,119.329999999999998,3.040000000000000,37.409999999999997,0.23,45.009999999999998,6.370000000000000,5.350000000000000,0.09,0.72,A2O,40.458799999999997,115.984560000000002
25,4,549.720000000000027,5895.789999999999964,339.589999999999975,18.309999999999999,127.000000000000000,4.720000000000000,151.419999999999987,4.380000000000000,43.200000000000003,0.45,52.810000000000002,8.119999999999999,5.230000000000000,0.19,0.57,OD,40.028469999999999,116.442189999999997
26,0.5,21.879999999999999,27.500000000000000,101.560000000000002,20.680000000000000,32.390000000000001,4.230000000000000,178.819999999999993,5.630000000000000,10.449999999999999,1.400000000000000,11.180000000000000,1.380000000000000,2.390000000000000,0.14,1.080000000000000,OD,39.875119900000001,116.032309999999995
27,1.1,232.039999999999992,52.399999999999999,77.019999999999996,12.440000000000000,42.619999999999997,5.020000000000000,74.099999999999994,4.820000000000000,9.400000000000000,1.710000000000000,12.420000000000000,7.730000000000000,1.330000000000000,0.34,0.33,OD,40.053196000000000,117.008315999999994
28,8,2420.000000000000000,26780.360000000000582,416.350000000000023,13.990000000000000,250.939999999999998,3.500000000000000,419.910000000000025,4.310000000000000,28.760000000000002,0.23,39.119999999999997,8.630000000000001,2.930000000000000,0.15,0.65,Other,40.131559000000003,117.088838999999993
29,0.5,161.680000000000007,566.559999999999945,263.670000000000016,16.210000000000001,105.230000000000004,5.910000000000000,110.489999999999995,6.090000000000000,6.850000000000000,0.27,17.280000000000001,3.430000000000000,3.300000000000000,0.53,0.34,CAS,39.832729999999998,116.241870000000006
30,2,750.000000000000000,3114.000000000000000,148.060000000000002,17.699999999999999,65.620000000000005,8.760000000000000,110.140000000000001,4.170000000000000,15.060000000000000,2.890000000000000,19.750000000000000,8.609999999999999,1.600000000000000,0.38,0.21,A2O,40.058789900000001,116.576435500000002
31,4,809.590000000000032,13576.530000000000655,126.689999999999998,22.239999999999998,30.300000000000001,4.750000000000000,33.740000000000002,4.200000000000000,19.030000000000001,0.95,40.049999999999997,12.070000000000000,3.310000000000000,0.11,0.76,A2O,40.120121999999988,116.609855999999994
32,2,804.409999999999968,6998.000000000000000,205.250000000000000,19.399999999999999,60.590000000000003,4.810000000000000,196.639999999999986,6.400000000000000,24.840000000000000,0.47,31.559999999999999,9.580000000000000,3.250000000000000,0.24,0.19,A2O,40.147959999999998,116.550950000000000
33,2,911.000000000000000,3470.400000000000091,247.770000000000010,10.660000000000000,154.930000000000007,3.660000000000000,172.780000000000001,3.250000000000000,28.670000000000002,0.37,32.259999999999998,11.160000000000000,4.610000000000000,0.01,0.35,OD,40.063189999999999,116.570310000000006
34,4,1460.000000000000000,10232.709999999999127,193.830000000000013,13.150000000000000,93.099999999999994,2.780000000000000,134.780000000000001,4.530000000000000,26.879999999999999,0.25,33.799999999999997,4.110000000000000,3.150000000000000,0.1,0.51,A2O,39.915847999999997,116.728972999999996
