Province,count,mean_m3,std_m3,median_m3,min_m3,max_m3,ci_95_low_m3,ci_95_high_m3,mean_kg,std_kg,median_kg,min_kg,max_kg,ci_95_low_kg,ci_95_high_kg,mean_COD,std_COD,median_COD,min_COD,max_COD,ci_95_low_COD,ci_95_high_COD,mean_Flow,std_Flow,median_Flow,min_Flow,max_Flow,ci_95_low_Flow,ci_95_high_Flow
Shanghai,1,0.29,,0.29,0.29,0.29,,,1.337514989,,1.337514989,1.337514989,1.337514989,,,234.01,,234.01,234.01,234.01,,,16.5858264,,16.5858264,16.5858264,16.5858264,,
Yunnan,84,0.381428571,0.187463364,0.315,0.13,0.89,0.340746527,0.422110615,2.351314144,2.607209863,1.812591433,0.595959804,23.6011668,1.785514919,2.91711337,227.7917857,119.7120593,206.9,45.89,801.57,201.8126763,253.7708952,7.682533795,12.6447115,3.526604,1.1257476,85.8916676,4.938463181,10.42660441
Inner,52,0.395576923,0.149002085,0.38,0.12,0.73,0.354094478,0.437059369,2.524049204,1.709467856,2.040083821,0.638192261,9.99344692,2.048130313,2.999968094,219.5803846,121.2703699,182.06,56.16,658.15,185.818498,253.3422712,6.947339708,10.56474796,3.5504236,0.1996792,56.834,4.006095092,9.888584323
Beijing,44,0.448409091,0.205380454,0.435,0.1,0.91,0.385967726,0.510850456,2.298126787,1.60663707,1.700473068,0.562072336,7.276208712,1.809664472,2.786589102,258.0093182,124.2063748,218.27,72.04,578.98,220.2471288,295.7715076,18.97980645,32.80404939,6.206852,0.1728188,139.5943676,9.006463862,28.95314903
Jilin,55,0.387818182,0.160239299,0.34,0.14,0.81,0.344499431,0.431136932,2.519922193,1.976609238,1.991130419,0.621864765,12.9073212,1.985569865,3.05427452,212.4241818,94.60017024,204.25,53.81,507.07,186.8501735,237.9981902,14.39683873,29.53775722,4.58292,0.26064,202.98788,6.411664414,22.38201304
Sichuan,162,0.367160494,0.161923489,0.33,0.05,0.85,0.342037161,0.392283826,2.285945029,1.592490465,1.960323623,0.3125,11.25154131,2.038861252,2.533028806,220.092963,116.2241435,191.275,48.08,681.19,202.0601389,238.125787,9.101036637,22.48959966,4.4608536,0.6839628,270.6757984,5.611649825,12.59042345
Tianjin,51,0.37745098,0.155085049,0.38,0.12,0.77,0.333832607,0.421069353,2.334942531,2.386327355,1.710220276,0.557983818,16.83650864,1.663777147,3.006107915,230.2317647,110.9753144,211.46,56.5,748.6,199.0194546,261.4440749,12.77072118,25.26026188,4.32228,0.36924,156.033946,5.666158038,19.87528431
Anhui,122,0.33352459,0.136490378,0.31,0.12,0.78,0.309060138,0.357989042,2.4157811,3.162859341,1.918574096,0.395168171,33.53658537,1.848872124,2.982690077,203.7503279,123.4579473,178.095,25.83,1138.87,181.6218008,225.8788549,9.393655502,13.15673965,5.2990646,0.034752,89.6172992,7.035449522,11.75186148
Shandong,336,0.334672619,0.14082872,0.31,0.01,0.9,0.319559937,0.349785301,2.026932275,1.495346484,1.617108213,0.058823529,11.52184349,1.866462906,2.187401644,232.2701488,127.7800678,209.485,48.18,1064.05,218.5577503,245.9825473,10.55786683,11.72178194,9.213262,0.03982,126.443704,9.299973108,11.81576055
Shanxi,70,0.432571429,0.174020536,0.4,0.07,0.85,0.391077696,0.474065161,2.571731151,2.699008651,1.690030612,0.352769239,16.64355062,1.928175254,3.215287047,261.459,116.0473118,268.025,33,521.94,233.7884952,289.1295048,8.165919463,13.67105624,3.228497,0.272586,86.800722,4.906171165,11.42566776
