Plant_ID,Average_flow__MGD_,Sludge_yield__tone_,CODinf,CODeff,BODinf,COD removal,TN removal,COD/BOD,COD/TN,BODeff,SSinf,SSeff,NH3_Ninf,NH3_Neff,TNinf,TNeff,TPinf,TPeff,Flow based EUI (kWh/m^3),COD removal based EUI (kWh/kg COD removed),EUI__kWh_kg_TN_removed_,Treatment_process,Longitude,Annual_HDD,Latitude1,Province,City,Regional
1,6.552272400000000,14835.969999999999345,335.970000000000027,14.490000000000000,163.979999999999990,0.956871149,0.796590008,2.04884742,6.660785091,2.390000000000000,303.269999999999982,2.810000000000000,38.280000000000001,0.28,50.439999999999998,10.260000000000000,7.430000000000000,0.16,0.61,1.897474181908672,15.181682429069186,A2O,116.26667,8213.33,40.184370000000001,Beijing,北京市,华北
2,7.220741600000000,6708.060000000000400,379.670000000000016,23.539999999999999,115.750000000000000,0.937998788,0.739227506,3.280086393,8.476668899,5.780000000000000,366.269999999999982,7.170000000000000,31.840000000000000,1.520000000000000,44.789999999999999,11.680000000000000,8.190000000000000,0.4,0.36,1.010866818296689,10.872848082150407,A2O,116.290595,8213.33,40.148968000000004,Beijing,北京市,华北
3,1.821873600000000,3102.400000000000091,212.460000000000008,18.090000000000000,88.859999999999999,0.914854561,0.675328304,2.390952059,5.936295054,3.330000000000000,107.480000000000004,3.570000000000000,30.600000000000001,1.850000000000000,35.789999999999999,11.619999999999999,3.040000000000000,0.34,0.58,2.983999588413849,23.996690111708727,A2O,116.45241,8213.33,39.756205999999999,Beijing,北京市,华北
5,129.293802400000004,178452.410000000003492,538.090000000000032,12.890000000000001,217.009999999999991,0.9760449,0.819904268,2.479563154,10.7317511,1.020000000000000,306.490000000000009,2.500000000000000,38.320000000000000,0.41,50.140000000000001,9.029999999999999,5.650000000000000,0.11,0.58,1.104341203351104,14.108489418632937,A2O,116.3343273,8213.33,39.994115899999997,Beijing,北京市,华北
7,139.594367599999998,215278.940000000002328,413.819999999999993,14.570000000000000,169.949999999999989,0.964791455,0.789178357,2.434951456,8.292985972,1.040000000000000,185.530000000000001,2.500000000000000,39.219999999999999,0.37,49.899999999999999,10.520000000000000,5.070000000000000,0.15,0.48,1.202254226675016,12.188928390045708,A2O,116.45573,8213.33,39.832979999999999,Beijing,北京市,华北
11,12.689475600000000,2561.739999999999782,149.340000000000003,12.850000000000000,71.700000000000003,0.913954734,0.691729323,2.082845188,7.485714286,5.800000000000000,175.110000000000014,4.000000000000000,16.440000000000001,1.020000000000000,19.949999999999999,6.150000000000000,2.080000000000000,0.28,0.24,1.758370576599018,17.391304347826086,A2O,116.418944,8213.33,39.945213000000003,Beijing,北京市,华北
12,11.092693600000000,16632.520000000000437,270.519999999999982,15.500000000000000,98.189999999999998,0.942702942,0.874107291,2.755066707,4.492941372,2.380000000000000,140.099999999999994,4.000000000000000,45.570000000000000,0.45,60.210000000000001,7.580000000000000,5.510000000000000,0.13,0.7,2.744882754293781,13.300399011970356,A2O,116.144132,8213.33,39.889525999999996,Beijing,北京市,华北
13,112.016121600000005,166394.589999999996508,343.439999999999998,15.910000000000000,137.300000000000011,0.953674587,0.834344877,2.501383831,6.130667619,1.300000000000000,156.610000000000014,2.500000000000000,45.689999999999998,0.33,56.020000000000003,9.279999999999999,5.100000000000000,0.15,0.8,2.442524348914604,17.115960633290545,A2O,116.40167,8213.33,39.835239999999999,Beijing,北京市,华北
14,77.721327599999995,107172.610000000000582,578.980000000000018,13.130000000000001,281.180000000000007,0.977322187,0.821968229,2.059108045,11.21619527,1.030000000000000,330.110000000000014,2.500000000000000,35.609999999999999,0.37,51.619999999999997,9.190000000000000,8.690000000000000,0.11,0.45,0.795263762,10.605703511666274,A2O,116.462308,8213.33,40.057896000000000,Beijing,北京市,华北
15,26.930193599999999,33365.790000000000873,429.329999999999984,20.129999999999999,202.710000000000008,0.95311299,0.717416602,2.117951754,8.326803724,2.960000000000000,284.319999999999993,3.210000000000000,43.630000000000003,0.31,51.560000000000002,14.570000000000000,5.350000000000000,0.32,0.23,0.562072336,6.217896728845634,A2O,116.308629,8213.33,39.839826000000002,Beijing,北京市,华北
