Plant ID,Longitude,Latitude,Province,Annual_HDD,Treatment_process,Average_flow__MGD_,Sludgeield__tone__file2,CODinf,CODeff,BODinf,COD removal,TN removal,COD/BOD,COD/TN,BODeff,SSinf,SSeff,NH3_Ninf,NH3_Neff,TNinf,TNeff,TPinf,TPeff,Flow based EUI (kWh/m^3),COD removal based EUI (kWh/kg COD removed),Current electricity consumption (kWh/a),Current heat consumption (kWh/a),Current electricity recovery potential (kWh/a),Current heat recovery potential (kWh/a),Current effective heat recovery potential (kWh/a),Recoverable energy density (kWh/m3),Current recovered heat waste,Efficiency score,Efficiency_Group,Optimal EUI (kWh/kg COD removed),Optimal EUI (kWh/m3),Energy gap,Selected_Process,Electricity recovery after selection (kWh/a),Heat recovery after selection (kWh/a),Electricity consumption after upgrade,Heat consumption after upgrade,Effective heat recovery after selection (kWh/a),Recoverable energy density after selection (kWh/m3),EUI (kWh/m3),EUI (kWH/kg COD removed),New efficiency score,Optimal EUI after selection (kWh/kg COD removed),Optimal EUI after selection (kWh/m3),Energy gap after selection
1,116.26667,40.18437,Beijing,8213.33,A2O,6.5522724,14835.97,335.97,14.49,163.98,0.956871149,0.796590008,2.04884742,6.660785091,2.39,303.27,2.81,38.28,0.28,50.44,10.26,7.43,0.16,0.61,1.897474182,5580000,388000,668000,763000,388000,0.116644986,0.508,0.253027654,Inefficient,0.480113441,0.197205064,0.408509178,CEPT,1020000,1160000,3121792.174,581339.9975,581339.9975,0.176882842,0.409045265,1.272381687,0.484378222,0.616313979,0.198132618,0.107250266
2,116.290595,40.148968,Beijing,8213.33,A2O,7.2207416,6708.06,379.67,23.54,115.75,0.937998788,0.739227506,3.280086393,8.476668899,5.78,366.27,7.17,31.84,1.52,44.79,11.68,8.19,0.4,0.36,1.010866818,3620000,175000,501000,572000,175000,0.067757753,0.306,0.369147717,Inefficient,0.373159178,0.150434016,0.5495849,Current,501000,572000,3620000,175000,175000,0.067757753,0.380385608,1.068108859,0.524757335,0.560497959,0.199610138,0.660549543
3,116.45241,39.756206,Beijing,8213.33,A2O,1.8218736,3102.4,212.46,18.09,88.86,0.914854561,0.675328304,2.390952059,5.936295054,3.33,107.48,3.57,30.6,1.85,35.79,11.62,3.04,0.34,0.58,2.983999588,1470000,81100,98200,112000,81100,0.071228885,0.722,0.260098005,Inefficient,0.77613234,0.183074705,0.610929946,CEPT,153000,175000,822395.906,110258.6422,110258.6422,0.104582374,0.370507216,1.906195481,0.453811226,0.865052909,0.168140334,0.378005436
4,116.551552,39.82159,Beijing,8213.33,AO,1.8029772,2111.58,417.87,27.07,141.65,0.935219087,0.876888218,2.950017649,5.260196375,12.02,144.51,6.25,63.34,0.96,79.44,9.78,6.37,0.17,0.58,1.484135107,1450000,55200,147000,168000,55200,0.081168032,0.328,0.269517796,Inefficient,0.400000823,0.178478954,0.545223509,HRAS,348531.69,398321.93,919356.1808,65934.86365,65934.86365,0.166377025,0.395519956,1.012077677,0.568700551,0.575569133,0.224932417,0.260324378
5,116.3343273,39.9941159,Beijing,8213.33,A2O,129.2938024,178452.41,538.09,12.89,217.01,0.9760449,0.819904268,2.479563154,10.7317511,1.02,306.49,2.5,38.32,0.41,50.14,9.03,5.65,0.11,0.58,1.104341203,104000000,4660000,17600000,20100000,4660000,0.124606745,0.232,0.152995442,Inefficient,0.16895917,0.114823045,-0.085206765,Current,17600000,20100000,104000000,4660000,4660000,0.124606745,0.608255568,1.158140838,0.282120577,0.326735361,0.171601412,0.273859439
6,116.2534048,39.8831277,Beijing,8213.33,SBR,20.8451184,32777.91,461.8,13.9,196.62,0.96990039,0.82708563,2.34869291,8.48585079,1.01,202.48,2.5,43.35,0.15,54.42,9.41,5.7,0.11,0.48,1.071667783,14000000,856000,2570000,2940000,856000,0.118953464,0.291,0.240644346,Inefficient,0.257890793,0.145230292,0.180932142,Current,2570000,2940000,14000000,856000,856000,0.118953464,0.515812218,1.151623617,0.368974945,0.424920261,0.190321785,0.374987662
7,116.45573,39.83298,Beijing,8213.33,A2O,139.5943676,215278.94,413.82,14.57,169.95,0.964791455,0.789178357,2.434951456,8.292985972,1.04,185.53,2.5,39.22,0.37,49.9,10.52,5.07,0.15,0.48,1.202254227,93400000,5620000,14900000,17000000,5620000,0.106390674,0.331,0.269543802,Inefficient,0.324060175,0.158519212,0.328846812,Current,14900000,17000000,93400000,5620000,5620000,0.106390674,0.513392035,1.285891134,0.314022553,0.403798817,0.161216678,0.340076499
8,116.15761,40.07967,Beijing,8213.33,SBR,2.421418,1961.06,155.06,14.49,80.05,0.906552302,0.829606785,1.93703935,3.985093806,2.09,74.47,4,34.45,0.2,38.91,6.63,4.13,0.14,0.91,6.473643025,3050000,51200,119000,136000,51200,0.050872595,0.377,0.03132911,Inefficient,0.202813474,0.043813114,-0.161127108,HRAS,185555.78,212063.75,1612937.569,35080.66717,35080.66717,0.065947994,0.492590858,3.504238868,0.130232895,0.456367172,0.064151533,-0.028003393
9,116.187079,40.053627,Beijing,8213.33,OD,3.9101792,2183.11,199.23,18.22,66.8,0.908547909,0.443938532,2.98248503,11.33921457,6.51,165.3,11.32,13.18,3.02,17.57,9.77,2.02,0.68,0.24,1.325893597,1310000,57000,149000,170000,57000,0.038129812,0.336,0.834664132,Inefficient,1.106675828,0.210869874,0.819178477,Current,149000,170000,1310000,57000,57000,0.038129812,0.253026468,1.39785906,0.734604115,1.026873018,0.185874285,0.794862363
10,116.26378,40.04842,Beijing,8213.33,OD,4.464908,6783,173.65,19.91,89.6,0.885344083,0.755580866,1.938058036,3.955580866,2.19,83.21,7.97,39.41,0.26,43.9,10.73,5.03,0.14,0.72,4.68323143,4470000,177000,246000,281000,177000,0.068568074,0.63,0.114598463,Inefficient,0.536691124,0.111202499,0.383394483,HRAS,385352.98,440403.41,2565141.864,72859.76319,72859.76319,0.074276041,0.427618657,2.781440463,0.218003719,0.606364366,0.093222458,0.203238756
11,116.418944,39.945213,Beijing,8213.33,A2O,12.6894756,2561.74,149.34,12.85,71.7,0.913954734,0.691729323,2.082845188,7.485714286,5.8,175.11,4,16.44,1.02,19.95,6.15,2.08,0.28,0.24,1.758370577,4220000,66900,527000,603000,66900,0.033873787,0.111,1,Efficient,1.758370577,0.24381572,0.861068077,Current,527000,603000,4220000,66900,66900,0.033873787,0.244508397,1.791401546,0.581796849,1.042231775,0.142254215,0.761878501
